scenario_id,variant_id,zone,npcc_bus_id,npcc_bus_name,zone_target_generation_mw,perform_bus_weight,ideal_bus_pg_mw,applied_bus_pg_mw,capacity_redispatch_mw,bus_pmin_mw,bus_pmax_mw,source_rule,confidence
S1_2025_SUMMER_PEAK_PUBLIC,S4_GSK__current,F,42,ALBANY,993.746927215201,NaN,635.087276993205,635.087276993205,0,0,1068.003995,S4 ACOPF bus dispatch,reference
S1_2025_SUMMER_PEAK_PUBLIC,S4_GSK__current,D,47,MOSES W,977.800993437805,NaN,937.740947737805,937.740947737805,0,0,944.920662,S4 ACOPF bus dispatch,reference
S1_2025_SUMMER_PEAK_PUBLIC,S4_GSK__current,D,48,MOSES E,977.800993437805,NaN,40.0600457,40.0600457,0,0,40.0600457,S4 ACOPF bus dispatch,reference
S1_2025_SUMMER_PEAK_PUBLIC,S4_GSK__current,C,50,CLAY,2511.2,NaN,1105.24857748821,1105.24857748821,0,0,1105.24857748821,S4 ACOPF bus dispatch,reference
S1_2025_SUMMER_PEAK_PUBLIC,S4_GSK__current,C,51,CLAY,2511.2,NaN,292.878562141814,292.878562141814,0,0,292.878562141814,S4 ACOPF bus dispatch,reference
S1_2025_SUMMER_PEAK_PUBLIC,S4_GSK__current,B,53,ROCHESTER,288.8,NaN,288.8,288.8,0,0,288.8,S4 ACOPF bus dispatch,reference
S1_2025_SUMMER_PEAK_PUBLIC,S4_GSK__current,A,54,NIAGARA W,1292.8,NaN,394.385301787287,394.385301787287,0,0,394.385301787287,S4 ACOPF bus dispatch,reference
S1_2025_SUMMER_PEAK_PUBLIC,S4_GSK__current,A,55,NIAGARA E,1292.8,NaN,197.192650893643,197.192650893643,0,0,197.192650893643,S4 ACOPF bus dispatch,reference
S1_2025_SUMMER_PEAK_PUBLIC,S4_GSK__current,A,56,HUNTLEY,1292.8,NaN,495.093851384339,495.093851384339,0,0,495.093851384339,S4 ACOPF bus dispatch,reference
S1_2025_SUMMER_PEAK_PUBLIC,S4_GSK__current,A,57,HUNTLEY,1292.8,NaN,14.3166985641929,14.3166985641929,0,0,14.3166985641929,S4 ACOPF bus dispatch,reference
S1_2025_SUMMER_PEAK_PUBLIC,S4_GSK__current,A,60,DUNKIRK,1292.8,NaN,59.5351288283759,59.5351288283759,0,0,59.5351288283759,S4 ACOPF bus dispatch,reference
S1_2025_SUMMER_PEAK_PUBLIC,S4_GSK__current,A,61,DUNKIRK,1292.8,NaN,132.276368542162,132.276368542162,0,0,132.276368542162,S4 ACOPF bus dispatch,reference
S1_2025_SUMMER_PEAK_PUBLIC,S4_GSK__current,C,65,GESONIDGE,2511.2,NaN,7.481832143219,7.481832143219,0,0,7.481832143219,S4 ACOPF bus dispatch,reference
S1_2025_SUMMER_PEAK_PUBLIC,S4_GSK__current,C,68,HILLSIDE,2511.2,NaN,271.054008885173,271.054008885173,0,0,271.054008885173,S4 ACOPF bus dispatch,reference
S1_2025_SUMMER_PEAK_PUBLIC,S4_GSK__current,C,71,BINGHAMTON,2511.2,NaN,643.677757785503,643.677757785503,0,0,643.677757785503,S4 ACOPF bus dispatch,reference
S1_2025_SUMMER_PEAK_PUBLIC,S4_GSK__current,C,72,LAPEER,2511.2,NaN,190.859261556085,190.859261556085,0,0,190.859261556085,S4 ACOPF bus dispatch,reference
S1_2025_SUMMER_PEAK_PUBLIC,S4_GSK__current,I,78,CE UG,0,NaN,0,0,0,0,565.099092,S4 ACOPF bus dispatch,reference
S1_2025_SUMMER_PEAK_PUBLIC,S4_GSK__current,J,79,RAV A-3,2665.32992322799,NaN,1066.94556909402,1066.94556909402,0,0,1777.453484,S4 ACOPF bus dispatch,reference
S1_2025_SUMMER_PEAK_PUBLIC,S4_GSK__current,K,80,NORTHPORT,1603.17038873812,NaN,1120.98796628237,1120.98796628237,0,0,1784.929342,S4 ACOPF bus dispatch,reference
S1_2025_SUMMER_PEAK_PUBLIC,S4_GSK__current,J,82,AK-3,2665.32992322799,NaN,1112.74317846456,1112.74317846456,0,0,1519.623976,S4 ACOPF bus dispatch,reference
S1_2025_SUMMER_PEAK_PUBLIC,S4_GSK__current,J,81,GOETHALS,2665.32992322799,NaN,485.641175669405,485.641175669405,0,0,900,S4 ACOPF bus dispatch,reference
S1_2025_SUMMER_PEAK_PUBLIC,S4_GSK__current,E,43,EDIC,0,NaN,0,0,0,0,400,S4 ACOPF bus dispatch,reference
S1_2025_SUMMER_PEAK_PUBLIC,S4_GSK__current,E,44,PORTER,0,NaN,0,0,0,0,200,S4 ACOPF bus dispatch,reference
S1_2025_SUMMER_PEAK_PUBLIC,S4_GSK__current,F,38,GILBOA,993.746927215201,NaN,106.951627185816,106.951627185816,0,0,500,S4 ACOPF bus dispatch,reference
S1_2025_SUMMER_PEAK_PUBLIC,S4_GSK__current,F,41,ROTTERDAM,993.746927215201,NaN,141.157799264905,141.157799264905,0,0,300,S4 ACOPF bus dispatch,reference
S1_2025_SUMMER_PEAK_PUBLIC,S4_GSK__current,F,37,NEW SEATHED,993.746927215201,NaN,110.550223771275,110.550223771275,0,0,300,S4 ACOPF bus dispatch,reference
S1_2025_SUMMER_PEAK_PUBLIC,S4_GSK__current,G,73,PLEASANT VLY,935.442568774488,NaN,325.871613985751,325.871613985751,0,0,900,S4 ACOPF bus dispatch,reference
S1_2025_SUMMER_PEAK_PUBLIC,S4_GSK__current,G,76,RAMAPO,935.442568774488,NaN,414.056521488942,414.056521488942,0,0,700,S4 ACOPF bus dispatch,reference
S1_2025_SUMMER_PEAK_PUBLIC,S4_GSK__current,G,39,LEEDS,935.442568774488,NaN,195.514433299795,195.514433299795,0,0,600,S4 ACOPF bus dispatch,reference
S1_2025_SUMMER_PEAK_PUBLIC,S4_GSK__current,K,9003,EAST GARDEN CITY,1603.17038873812,NaN,482.182422455747,482.182422455747,0,0,600,S4 ACOPF bus dispatch,reference
S1_2025_SUMMER_PEAK_PUBLIC,S4_GSK__perform_rx,F,42,ALBANY,993.746927215201,NaN,635.087276993205,635.087276993205,0,0,1068.003995,S4 ACOPF bus dispatch,reference
S1_2025_SUMMER_PEAK_PUBLIC,S4_GSK__perform_rx,D,47,MOSES W,977.800993437805,NaN,937.740947737805,937.740947737805,0,0,944.920662,S4 ACOPF bus dispatch,reference
S1_2025_SUMMER_PEAK_PUBLIC,S4_GSK__perform_rx,D,48,MOSES E,977.800993437805,NaN,40.0600457,40.0600457,0,0,40.0600457,S4 ACOPF bus dispatch,reference
S1_2025_SUMMER_PEAK_PUBLIC,S4_GSK__perform_rx,C,50,CLAY,2511.2,NaN,1105.24857748821,1105.24857748821,0,0,1105.24857748821,S4 ACOPF bus dispatch,reference
S1_2025_SUMMER_PEAK_PUBLIC,S4_GSK__perform_rx,C,51,CLAY,2511.2,NaN,292.878562141814,292.878562141814,0,0,292.878562141814,S4 ACOPF bus dispatch,reference
S1_2025_SUMMER_PEAK_PUBLIC,S4_GSK__perform_rx,B,53,ROCHESTER,288.8,NaN,288.8,288.8,0,0,288.8,S4 ACOPF bus dispatch,reference
S1_2025_SUMMER_PEAK_PUBLIC,S4_GSK__perform_rx,A,54,NIAGARA W,1292.8,NaN,394.385301787287,394.385301787287,0,0,394.385301787287,S4 ACOPF bus dispatch,reference
S1_2025_SUMMER_PEAK_PUBLIC,S4_GSK__perform_rx,A,55,NIAGARA E,1292.8,NaN,197.192650893643,197.192650893643,0,0,197.192650893643,S4 ACOPF bus dispatch,reference
S1_2025_SUMMER_PEAK_PUBLIC,S4_GSK__perform_rx,A,56,HUNTLEY,1292.8,NaN,495.093851384339,495.093851384339,0,0,495.093851384339,S4 ACOPF bus dispatch,reference
S1_2025_SUMMER_PEAK_PUBLIC,S4_GSK__perform_rx,A,57,HUNTLEY,1292.8,NaN,14.3166985641929,14.3166985641929,0,0,14.3166985641929,S4 ACOPF bus dispatch,reference
S1_2025_SUMMER_PEAK_PUBLIC,S4_GSK__perform_rx,A,60,DUNKIRK,1292.8,NaN,59.5351288283759,59.5351288283759,0,0,59.5351288283759,S4 ACOPF bus dispatch,reference
S1_2025_SUMMER_PEAK_PUBLIC,S4_GSK__perform_rx,A,61,DUNKIRK,1292.8,NaN,132.276368542162,132.276368542162,0,0,132.276368542162,S4 ACOPF bus dispatch,reference
S1_2025_SUMMER_PEAK_PUBLIC,S4_GSK__perform_rx,C,65,GESONIDGE,2511.2,NaN,7.481832143219,7.481832143219,0,0,7.481832143219,S4 ACOPF bus dispatch,reference
S1_2025_SUMMER_PEAK_PUBLIC,S4_GSK__perform_rx,C,68,HILLSIDE,2511.2,NaN,271.054008885173,271.054008885173,0,0,271.054008885173,S4 ACOPF bus dispatch,reference
S1_2025_SUMMER_PEAK_PUBLIC,S4_GSK__perform_rx,C,71,BINGHAMTON,2511.2,NaN,643.677757785503,643.677757785503,0,0,643.677757785503,S4 ACOPF bus dispatch,reference
S1_2025_SUMMER_PEAK_PUBLIC,S4_GSK__perform_rx,C,72,LAPEER,2511.2,NaN,190.859261556085,190.859261556085,0,0,190.859261556085,S4 ACOPF bus dispatch,reference
S1_2025_SUMMER_PEAK_PUBLIC,S4_GSK__perform_rx,I,78,CE UG,0,NaN,0,0,0,0,565.099092,S4 ACOPF bus dispatch,reference
S1_2025_SUMMER_PEAK_PUBLIC,S4_GSK__perform_rx,J,79,RAV A-3,2665.32992322799,NaN,1066.94556909402,1066.94556909402,0,0,1777.453484,S4 ACOPF bus dispatch,reference
S1_2025_SUMMER_PEAK_PUBLIC,S4_GSK__perform_rx,K,80,NORTHPORT,1603.17038873812,NaN,1120.98796628237,1120.98796628237,0,0,1784.929342,S4 ACOPF bus dispatch,reference
S1_2025_SUMMER_PEAK_PUBLIC,S4_GSK__perform_rx,J,82,AK-3,2665.32992322799,NaN,1112.74317846456,1112.74317846456,0,0,1519.623976,S4 ACOPF bus dispatch,reference
S1_2025_SUMMER_PEAK_PUBLIC,S4_GSK__perform_rx,J,81,GOETHALS,2665.32992322799,NaN,485.641175669405,485.641175669405,0,0,900,S4 ACOPF bus dispatch,reference
S1_2025_SUMMER_PEAK_PUBLIC,S4_GSK__perform_rx,E,43,EDIC,0,NaN,0,0,0,0,400,S4 ACOPF bus dispatch,reference
S1_2025_SUMMER_PEAK_PUBLIC,S4_GSK__perform_rx,E,44,PORTER,0,NaN,0,0,0,0,200,S4 ACOPF bus dispatch,reference
S1_2025_SUMMER_PEAK_PUBLIC,S4_GSK__perform_rx,F,38,GILBOA,993.746927215201,NaN,106.951627185816,106.951627185816,0,0,500,S4 ACOPF bus dispatch,reference
S1_2025_SUMMER_PEAK_PUBLIC,S4_GSK__perform_rx,F,41,ROTTERDAM,993.746927215201,NaN,141.157799264905,141.157799264905,0,0,300,S4 ACOPF bus dispatch,reference
S1_2025_SUMMER_PEAK_PUBLIC,S4_GSK__perform_rx,F,37,NEW SEATHED,993.746927215201,NaN,110.550223771275,110.550223771275,0,0,300,S4 ACOPF bus dispatch,reference
S1_2025_SUMMER_PEAK_PUBLIC,S4_GSK__perform_rx,G,73,PLEASANT VLY,935.442568774488,NaN,325.871613985751,325.871613985751,0,0,900,S4 ACOPF bus dispatch,reference
S1_2025_SUMMER_PEAK_PUBLIC,S4_GSK__perform_rx,G,76,RAMAPO,935.442568774488,NaN,414.056521488942,414.056521488942,0,0,700,S4 ACOPF bus dispatch,reference
S1_2025_SUMMER_PEAK_PUBLIC,S4_GSK__perform_rx,G,39,LEEDS,935.442568774488,NaN,195.514433299795,195.514433299795,0,0,600,S4 ACOPF bus dispatch,reference
S1_2025_SUMMER_PEAK_PUBLIC,S4_GSK__perform_rx,K,9003,EAST GARDEN CITY,1603.17038873812,NaN,482.182422455747,482.182422455747,0,0,600,S4 ACOPF bus dispatch,reference
S1_2025_SUMMER_PEAK_PUBLIC,S4_GSK__perform_rxb,F,42,ALBANY,993.746927215201,NaN,635.087276993205,635.087276993205,0,0,1068.003995,S4 ACOPF bus dispatch,reference
S1_2025_SUMMER_PEAK_PUBLIC,S4_GSK__perform_rxb,D,47,MOSES W,977.800993437805,NaN,937.740947737805,937.740947737805,0,0,944.920662,S4 ACOPF bus dispatch,reference
S1_2025_SUMMER_PEAK_PUBLIC,S4_GSK__perform_rxb,D,48,MOSES E,977.800993437805,NaN,40.0600457,40.0600457,0,0,40.0600457,S4 ACOPF bus dispatch,reference
S1_2025_SUMMER_PEAK_PUBLIC,S4_GSK__perform_rxb,C,50,CLAY,2511.2,NaN,1105.24857748821,1105.24857748821,0,0,1105.24857748821,S4 ACOPF bus dispatch,reference
S1_2025_SUMMER_PEAK_PUBLIC,S4_GSK__perform_rxb,C,51,CLAY,2511.2,NaN,292.878562141814,292.878562141814,0,0,292.878562141814,S4 ACOPF bus dispatch,reference
S1_2025_SUMMER_PEAK_PUBLIC,S4_GSK__perform_rxb,B,53,ROCHESTER,288.8,NaN,288.8,288.8,0,0,288.8,S4 ACOPF bus dispatch,reference
S1_2025_SUMMER_PEAK_PUBLIC,S4_GSK__perform_rxb,A,54,NIAGARA W,1292.8,NaN,394.385301787287,394.385301787287,0,0,394.385301787287,S4 ACOPF bus dispatch,reference
S1_2025_SUMMER_PEAK_PUBLIC,S4_GSK__perform_rxb,A,55,NIAGARA E,1292.8,NaN,197.192650893643,197.192650893643,0,0,197.192650893643,S4 ACOPF bus dispatch,reference
S1_2025_SUMMER_PEAK_PUBLIC,S4_GSK__perform_rxb,A,56,HUNTLEY,1292.8,NaN,495.093851384339,495.093851384339,0,0,495.093851384339,S4 ACOPF bus dispatch,reference
S1_2025_SUMMER_PEAK_PUBLIC,S4_GSK__perform_rxb,A,57,HUNTLEY,1292.8,NaN,14.3166985641929,14.3166985641929,0,0,14.3166985641929,S4 ACOPF bus dispatch,reference
S1_2025_SUMMER_PEAK_PUBLIC,S4_GSK__perform_rxb,A,60,DUNKIRK,1292.8,NaN,59.5351288283759,59.5351288283759,0,0,59.5351288283759,S4 ACOPF bus dispatch,reference
S1_2025_SUMMER_PEAK_PUBLIC,S4_GSK__perform_rxb,A,61,DUNKIRK,1292.8,NaN,132.276368542162,132.276368542162,0,0,132.276368542162,S4 ACOPF bus dispatch,reference
S1_2025_SUMMER_PEAK_PUBLIC,S4_GSK__perform_rxb,C,65,GESONIDGE,2511.2,NaN,7.481832143219,7.481832143219,0,0,7.481832143219,S4 ACOPF bus dispatch,reference
S1_2025_SUMMER_PEAK_PUBLIC,S4_GSK__perform_rxb,C,68,HILLSIDE,2511.2,NaN,271.054008885173,271.054008885173,0,0,271.054008885173,S4 ACOPF bus dispatch,reference
S1_2025_SUMMER_PEAK_PUBLIC,S4_GSK__perform_rxb,C,71,BINGHAMTON,2511.2,NaN,643.677757785503,643.677757785503,0,0,643.677757785503,S4 ACOPF bus dispatch,reference
S1_2025_SUMMER_PEAK_PUBLIC,S4_GSK__perform_rxb,C,72,LAPEER,2511.2,NaN,190.859261556085,190.859261556085,0,0,190.859261556085,S4 ACOPF bus dispatch,reference
S1_2025_SUMMER_PEAK_PUBLIC,S4_GSK__perform_rxb,I,78,CE UG,0,NaN,0,0,0,0,565.099092,S4 ACOPF bus dispatch,reference
S1_2025_SUMMER_PEAK_PUBLIC,S4_GSK__perform_rxb,J,79,RAV A-3,2665.32992322799,NaN,1066.94556909402,1066.94556909402,0,0,1777.453484,S4 ACOPF bus dispatch,reference
S1_2025_SUMMER_PEAK_PUBLIC,S4_GSK__perform_rxb,K,80,NORTHPORT,1603.17038873812,NaN,1120.98796628237,1120.98796628237,0,0,1784.929342,S4 ACOPF bus dispatch,reference
S1_2025_SUMMER_PEAK_PUBLIC,S4_GSK__perform_rxb,J,82,AK-3,2665.32992322799,NaN,1112.74317846456,1112.74317846456,0,0,1519.623976,S4 ACOPF bus dispatch,reference
S1_2025_SUMMER_PEAK_PUBLIC,S4_GSK__perform_rxb,J,81,GOETHALS,2665.32992322799,NaN,485.641175669405,485.641175669405,0,0,900,S4 ACOPF bus dispatch,reference
S1_2025_SUMMER_PEAK_PUBLIC,S4_GSK__perform_rxb,E,43,EDIC,0,NaN,0,0,0,0,400,S4 ACOPF bus dispatch,reference
S1_2025_SUMMER_PEAK_PUBLIC,S4_GSK__perform_rxb,E,44,PORTER,0,NaN,0,0,0,0,200,S4 ACOPF bus dispatch,reference
S1_2025_SUMMER_PEAK_PUBLIC,S4_GSK__perform_rxb,F,38,GILBOA,993.746927215201,NaN,106.951627185816,106.951627185816,0,0,500,S4 ACOPF bus dispatch,reference
S1_2025_SUMMER_PEAK_PUBLIC,S4_GSK__perform_rxb,F,41,ROTTERDAM,993.746927215201,NaN,141.157799264905,141.157799264905,0,0,300,S4 ACOPF bus dispatch,reference
S1_2025_SUMMER_PEAK_PUBLIC,S4_GSK__perform_rxb,F,37,NEW SEATHED,993.746927215201,NaN,110.550223771275,110.550223771275,0,0,300,S4 ACOPF bus dispatch,reference
S1_2025_SUMMER_PEAK_PUBLIC,S4_GSK__perform_rxb,G,73,PLEASANT VLY,935.442568774488,NaN,325.871613985751,325.871613985751,0,0,900,S4 ACOPF bus dispatch,reference
S1_2025_SUMMER_PEAK_PUBLIC,S4_GSK__perform_rxb,G,76,RAMAPO,935.442568774488,NaN,414.056521488942,414.056521488942,0,0,700,S4 ACOPF bus dispatch,reference
S1_2025_SUMMER_PEAK_PUBLIC,S4_GSK__perform_rxb,G,39,LEEDS,935.442568774488,NaN,195.514433299795,195.514433299795,0,0,600,S4 ACOPF bus dispatch,reference
S1_2025_SUMMER_PEAK_PUBLIC,S4_GSK__perform_rxb,K,9003,EAST GARDEN CITY,1603.17038873812,NaN,482.182422455747,482.182422455747,0,0,600,S4 ACOPF bus dispatch,reference
S1_2025_SUMMER_PEAK_PUBLIC,PERFORM_GSK__current,F,37,NEW SEATHED,993.746927215201,0.210302229460617,208.987194312994,208.987194312994,0,0,300,Residual Zone-F plants at New Scotland proxy,medium
S1_2025_SUMMER_PEAK_PUBLIC,PERFORM_GSK__current,F,38,GILBOA,993.746927215201,0.28871900454521,286.913623595434,286.913623595434,0,0,500,PERFORM Blenheim-Gilboa plant,high
S1_2025_SUMMER_PEAK_PUBLIC,PERFORM_GSK__current,F,41,ROTTERDAM,993.746927215201,0.099654470089088,99.0313234342903,99.0313234342903,0,0,300,PERFORM Selkirk cluster at Rotterdam proxy,medium
S1_2025_SUMMER_PEAK_PUBLIC,PERFORM_GSK__current,F,42,ALBANY,993.746927215201,0.401324295905085,398.814785872482,398.814785872482,0,0,1068.003995,PERFORM Bethlehem/Empire Capital-region cluster,medium
S1_2025_SUMMER_PEAK_PUBLIC,PERFORM_GSK__current,D,47,MOSES W,977.800993437805,0.959329106258799,938.032953133655,938.032953133655,0,0,944.920662,PERFORM Zone-D total allocated to Moses W/E proxies,low
S1_2025_SUMMER_PEAK_PUBLIC,PERFORM_GSK__current,D,48,MOSES E,977.800993437805,0.0406708937412013,39.7680403041501,39.7680403041501,0,0,40.0600457,PERFORM Zone-D total allocated to Moses W/E proxies,low
S1_2025_SUMMER_PEAK_PUBLIC,PERFORM_GSK__current,C,50,CLAY,2511.2,0.682385315127198,1713.60600334742,1105.24857748821,-608.357425859215,0,1105.24857748821,PERFORM Nine Mile/Fitzpatrick/Independence/Oswego cluster,high
S1_2025_SUMMER_PEAK_PUBLIC,PERFORM_GSK__current,C,51,CLAY,2511.2,0.180824507709693,454.08650376058,292.878562141814,-161.207941618766,0,292.878562141814,PERFORM Nine Mile/Fitzpatrick/Independence/Oswego cluster,high
S1_2025_SUMMER_PEAK_PUBLIC,PERFORM_GSK__current,C,65,GESONIDGE,2511.2,0.024572506913824,61.7064793619949,7.481832143219,-54.2246472187759,0,7.481832143219,PERFORM Greenidge plant,high
S1_2025_SUMMER_PEAK_PUBLIC,PERFORM_GSK__current,C,68,HILLSIDE,2511.2,0.0597090451253934,149.941354118888,271.054008885173,121.112654766285,0,271.054008885173,Residual Zone-C plants allocated to Hillside/Lapeer proxies,medium
S1_2025_SUMMER_PEAK_PUBLIC,PERFORM_GSK__current,C,71,BINGHAMTON,2511.2,0.0104652541081939,26.2803461164964,643.677757785502,617.397411669006,0,643.677757785503,PERFORM Binghamton plant,high
S1_2025_SUMMER_PEAK_PUBLIC,PERFORM_GSK__current,C,72,LAPEER,2511.2,0.0420433710156976,105.57931329462,190.859261556085,85.2799482614649,0,190.859261556085,Residual Zone-C plants allocated to Hillside/Lapeer proxies,medium
S1_2025_SUMMER_PEAK_PUBLIC,PERFORM_GSK__current,B,53,ROCHESTER,288.8,1,288.8,288.8,0,0,288.8,All PERFORM Zone-B generation at retained Rochester proxy,medium
S1_2025_SUMMER_PEAK_PUBLIC,PERFORM_GSK__current,A,54,NIAGARA W,1292.8,0.382185175153705,494.08899443871,394.385301787287,-99.7036926514231,0,394.385301787287,PERFORM Niagara hydro plants,high
S1_2025_SUMMER_PEAK_PUBLIC,PERFORM_GSK__current,A,55,NIAGARA E,1292.8,0.191092587576852,247.044497219355,197.192650893643,-49.8518463257115,0,197.192650893643,PERFORM Niagara hydro plants,high
S1_2025_SUMMER_PEAK_PUBLIC,PERFORM_GSK__current,A,56,HUNTLEY,1292.8,0.3012848165981,389.501010898024,495.093851384339,105.592840486315,0,495.093851384339,Residual Zone-A plants allocated to Huntley/Dunkirk proxies,medium
S1_2025_SUMMER_PEAK_PUBLIC,PERFORM_GSK__current,A,57,HUNTLEY,1292.8,0.00871229543477941,11.2632555380828,14.3166985641929,3.05344302611005,0,14.3166985641929,Residual Zone-A plants allocated to Huntley/Dunkirk proxies,medium
S1_2025_SUMMER_PEAK_PUBLIC,PERFORM_GSK__current,A,60,DUNKIRK,1292.8,0.036229555911566,46.8375698824726,59.5351288283759,12.6975589459033,0,59.5351288283759,Residual Zone-A plants allocated to Huntley/Dunkirk proxies,medium
S1_2025_SUMMER_PEAK_PUBLIC,PERFORM_GSK__current,A,61,DUNKIRK,1292.8,0.0804955693249973,104.064672023357,132.276368542162,28.2116965188055,0,132.276368542162,Residual Zone-A plants allocated to Huntley/Dunkirk proxies,medium
S1_2025_SUMMER_PEAK_PUBLIC,PERFORM_GSK__current,I,78,CE UG,0,1,0,0,0,0,565.099092,PERFORM Zone-I residual at CE UG interface proxy,low
S1_2025_SUMMER_PEAK_PUBLIC,PERFORM_GSK__current,J,79,RAV A-3,2665.32992322799,0.706420369463462,1882.84334910873,1777.453484,-105.389865108734,0,1777.453484,PERFORM Ravenswood/Astoria generation cluster,high
S1_2025_SUMMER_PEAK_PUBLIC,PERFORM_GSK__current,J,81,GOETHALS,2665.32992322799,0.165299657210587,440.578122662707,470.153166043278,29.5750433805711,0,900,Residual Zone-J generation at Goethals/Gowanus proxy,medium
S1_2025_SUMMER_PEAK_PUBLIC,PERFORM_GSK__current,J,82,AK-3,2665.32992322799,0.128279973325951,341.908451456545,417.723273184708,75.8148217281627,0,1519.623976,PERFORM Arthur-Kill/Narrows generation cluster,high
S1_2025_SUMMER_PEAK_PUBLIC,PERFORM_GSK__current,K,80,NORTHPORT,1603.17038873812,0.284679453396702,456.389669967746,1003.17038873812,546.780718770374,0,1784.929342,PERFORM Northport plant,high
S1_2025_SUMMER_PEAK_PUBLIC,PERFORM_GSK__current,K,9003,EAST GARDEN CITY,1603.17038873812,0.715320546603298,1146.78071877037,600,-546.780718770374,0,600,Residual Zone-K plants at East Garden City proxy,medium
S1_2025_SUMMER_PEAK_PUBLIC,PERFORM_GSK__current,E,43,EDIC,0,0.666666666666667,0,0,0,0,400,PERFORM Zone-E total allocated to Edic/Porter equivalents,low
S1_2025_SUMMER_PEAK_PUBLIC,PERFORM_GSK__current,E,44,PORTER,0,0.333333333333333,0,0,0,0,200,PERFORM Zone-E total allocated to Edic/Porter equivalents,low
S1_2025_SUMMER_PEAK_PUBLIC,PERFORM_GSK__current,G,39,LEEDS,935.442568774488,0.408278691528877,381.92126797966,381.92126797966,0,0,600,PERFORM Athens/South-Cairo/West-Coxsackie cluster,medium
S1_2025_SUMMER_PEAK_PUBLIC,PERFORM_GSK__current,G,73,PLEASANT VLY,935.442568774488,0.358300196665811,335.16925636147,335.16925636147,0,0,900,PERFORM Roseton/CPV-Valley cluster,medium
S1_2025_SUMMER_PEAK_PUBLIC,PERFORM_GSK__current,G,76,RAMAPO,935.442568774488,0.233421111805312,218.352044433358,218.352044433358,0,0,700,Residual Zone-G plants at Ramapo proxy,medium
S1_2025_SUMMER_PEAK_PUBLIC,PERFORM_GSK__perform_rx,F,37,NEW SEATHED,993.746927215201,0.210302229460617,208.987194312994,208.987194312994,0,0,300,Residual Zone-F plants at New Scotland proxy,medium
S1_2025_SUMMER_PEAK_PUBLIC,PERFORM_GSK__perform_rx,F,38,GILBOA,993.746927215201,0.28871900454521,286.913623595434,286.913623595434,0,0,500,PERFORM Blenheim-Gilboa plant,high
S1_2025_SUMMER_PEAK_PUBLIC,PERFORM_GSK__perform_rx,F,41,ROTTERDAM,993.746927215201,0.099654470089088,99.0313234342903,99.0313234342903,0,0,300,PERFORM Selkirk cluster at Rotterdam proxy,medium
S1_2025_SUMMER_PEAK_PUBLIC,PERFORM_GSK__perform_rx,F,42,ALBANY,993.746927215201,0.401324295905085,398.814785872482,398.814785872482,0,0,1068.003995,PERFORM Bethlehem/Empire Capital-region cluster,medium
S1_2025_SUMMER_PEAK_PUBLIC,PERFORM_GSK__perform_rx,D,47,MOSES W,977.800993437805,0.959329106258799,938.032953133655,938.032953133655,0,0,944.920662,PERFORM Zone-D total allocated to Moses W/E proxies,low
S1_2025_SUMMER_PEAK_PUBLIC,PERFORM_GSK__perform_rx,D,48,MOSES E,977.800993437805,0.0406708937412013,39.7680403041501,39.7680403041501,0,0,40.0600457,PERFORM Zone-D total allocated to Moses W/E proxies,low
S1_2025_SUMMER_PEAK_PUBLIC,PERFORM_GSK__perform_rx,C,50,CLAY,2511.2,0.682385315127198,1713.60600334742,1105.24857748821,-608.357425859215,0,1105.24857748821,PERFORM Nine Mile/Fitzpatrick/Independence/Oswego cluster,high
S1_2025_SUMMER_PEAK_PUBLIC,PERFORM_GSK__perform_rx,C,51,CLAY,2511.2,0.180824507709693,454.08650376058,292.878562141814,-161.207941618766,0,292.878562141814,PERFORM Nine Mile/Fitzpatrick/Independence/Oswego cluster,high
S1_2025_SUMMER_PEAK_PUBLIC,PERFORM_GSK__perform_rx,C,65,GESONIDGE,2511.2,0.024572506913824,61.7064793619949,7.481832143219,-54.2246472187759,0,7.481832143219,PERFORM Greenidge plant,high
