gen_row,device_key,source_bus,online,source_prior_pg_mw,reconstructed_pg_mw,pg_movement_mw,source_prior_qg_mvar,reconstructed_qg_mvar,qg_movement_mvar
1,PERFORM2019:GEN:6:1,6,1,2.744616,2.74321304955024,-0.00140295044976257,-0.188632693098334,0.0570728504466677,0.245705543545002
2,PERFORM2019:GEN:6:2,6,1,2.744616,2.74321304955024,-0.00140295044976257,-0.188632693098334,0.0570728504466677,0.245705543545002
3,PERFORM2019:GEN:6:3,6,1,2.94066,2.93954100814958,-0.00111899185042175,-0.229679080140557,0.0458089535311122,0.275488033671669
4,PERFORM2019:GEN:6:4,6,1,2.94066,2.93954100814958,-0.00111899185042175,-0.229679080140557,0.0458089535311122,0.275488033671669
5,PERFORM2019:GEN:15:1,15,1,7.841761,7.84182137139733,6.03713973310605e-05,-1.23151922527252,-0.890905338524044,0.340613886748476
6,PERFORM2019:GEN:15:2,15,1,7.841761,7.84182137139733,6.03713973310605e-05,-1.23151922527252,-0.890905338524044,0.340613886748476
7,PERFORM2019:GEN:17:1,17,0,0,0,0,0,0,0
8,PERFORM2019:GEN:17:2,17,1,11.4,11.4136023530851,0.0136023530851119,-5.27524139664097,1.32550204420233,6.60074344084331
9,PERFORM2019:GEN:17:3,17,1,11,11.0136226062618,0.0136226062617855,-5.27524139664097,1.32550204420233,6.60074344084331
10,PERFORM2019:GEN:17:4,17,1,11.2,11.2136114123838,0.0136114123838027,-5.27524139664097,1.32550204420233,6.60074344084331
11,PERFORM2019:GEN:17:5,17,1,11.4,11.4136023530851,0.0136023530851119,-5.27524139664097,1.32550204420233,6.60074344084331
12,PERFORM2019:GEN:17:6,17,1,10.7,10.7136423063841,0.0136423063840816,-5.27524139664097,1.32550204420233,6.60074344084331
13,PERFORM2019:GEN:17:7,17,1,9,9.0137410512146,0.0137410512146019,-5.27524139664097,1.32550204420233,6.60074344084331
14,PERFORM2019:GEN:17:8,17,1,29.800001,29.8138523254089,0.0138513254089396,-12.2517182169731,3.08889878909534,15.3406170060684
15,PERFORM2019:GEN:17:9,17,0,0,0,0,0,0,0
16,PERFORM2019:GEN:17:10,17,0,0,0,0,0,0,0
17,PERFORM2019:GEN:17:11,17,1,30.000001,30.0138419377851,0.0138409377850657,-12.2517182169731,3.08889878909534,15.3406170060684
18,PERFORM2019:GEN:17:12,17,1,183.000004,183.000158236195,0.00015423619493049,-55.0969688418134,13.8441305404655,68.9410993822789
19,PERFORM2019:GEN:17:13,17,1,183.000004,183.000158236195,0.00015423619493049,-55.0969688418134,13.8441305404655,68.9410993822789
20,PERFORM2019:GEN:18:1,18,1,15.898612,15.8986003005354,-1.16994645704693e-05,-5.76143235386556,-2.38962322254815,3.37180913131741
21,PERFORM2019:GEN:18:2,18,1,52.664155,52.6642593253945,0.000104325394467253,-19.1189187990227,-7.9322395456415,11.1866792533812
22,PERFORM2019:GEN:18:3,18,1,52.664155,52.6642593253945,0.000104325394467253,-19.1189187990227,-7.9322395456415,11.1866792533812
23,PERFORM2019:GEN:18:4,18,1,54.651493,54.6515990796374,0.0001060796373622,-19.8390976849972,-8.23094211458623,11.6081555704109
24,PERFORM2019:GEN:18:5,18,0,0,0,0,0,0,0
25,PERFORM2019:GEN:19:1,19,1,15.898612,15.8985811713349,-3.08286650536616e-05,0.692870978487022,-1.55394003888097,-2.24681101736799
26,PERFORM2019:GEN:19:2,19,0,0,0,0,0,0,0
27,PERFORM2019:GEN:19:3,19,1,384.54771,384.548173036762,0.000463036761573221,16.7582628396604,-37.5981805496005,-54.356443389261
28,PERFORM2019:GEN:19:4,19,1,386.999989,386.970590802197,-0.0293981978031184,16.7582628396604,-37.5981805496005,-54.356443389261
29,PERFORM2019:GEN:19:5,19,1,386.999989,386.970590802197,-0.0293981978031184,16.7582628396604,-37.5981805496005,-54.356443389261
30,PERFORM2019:GEN:21:1,21,1,10.782421,10.7824892868158,6.82868158090599e-05,7.2,-1.94048318991805,-9.14048318991805
31,PERFORM2019:GEN:21:2,21,1,11.762641,11.7627149359427,7.39359427015529e-05,7.8,-2.25475546552371,-10.0547554655237
32,PERFORM2019:GEN:21:3,21,1,12.742861,12.7429398049489,7.88049489166553e-05,8.5,-2.65306551587941,-11.1530655158794
33,PERFORM2019:GEN:24:1,24,1,8.821981,8.82203640528767,5.54052876751143e-05,4.93942736933736,-0.465191617036019,-5.40461898637338
34,PERFORM2019:GEN:24:2,24,1,8.821981,8.82203640528767,5.54052876751143e-05,4.93942736933736,-0.465191617036019,-5.40461898637338
35,PERFORM2019:GEN:24:3,24,1,8.821981,8.82203640528767,5.54052876751143e-05,4.93942736933736,-0.465191617036019,-5.40461898637338
36,PERFORM2019:GEN:24:4,24,1,8.821981,8.82203640528767,5.54052876751143e-05,4.93942736933736,-0.465191617036019,-5.40461898637338
37,PERFORM2019:GEN:26:C1,26,1,594.999981,594.976234922302,-0.0237460776984335,9.15046235505686,89.6330884827869,80.4826261277301
38,PERFORM2019:GEN:26:C2,26,1,650,649.97174835772,-0.0282516422799972,9.99628618345062,97.9184839545573,87.9221977711067
39,PERFORM2019:GEN:27:C1,27,1,121.823132,121.823253288762,0.000121288762201743,45.0607778832449,-37.6877253252655,-82.7485032085104
40,PERFORM2019:GEN:28:C1,28,0,0,0,0,0,0,0
41,PERFORM2019:GEN:29:1,29,1,111.2903,111.290417921758,0.000117921758487682,-8.1883265868511,-33.6147665536106,-25.4264399667595
42,PERFORM2019:GEN:30:1,30,1,4.07402,4.06741263449377,-0.0066073655062322,-0.25142425293227,-1.10412833707094,-0.852704084138672
43,PERFORM2019:GEN:30:2,30,1,55.048954,55.0490495855682,9.55855682036599e-05,-3.25394274456889,-14.5949074046949,-11.340964660126
44,PERFORM2019:GEN:31:1,31,1,0.98022,0.972636877825075,-0.00758312217492485,-0.216496025647874,-0.00892694351168266,0.207569082136192
45,PERFORM2019:GEN:31:2,31,1,0.98022,0.972636877825075,-0.00758312217492485,-0.216496025647874,-0.00892694351168266,0.207569082136192
46,PERFORM2019:GEN:31:3,31,1,2.548572,2.54682530073229,-0.00174669926771243,-0.485490522698777,0.00948190393367987,0.494972426632457
47,PERFORM2019:GEN:31:4,31,1,2.548572,2.54682530073229,-0.00174669926771243,-0.485490522698777,0.00948190393367987,0.494972426632457
48,PERFORM2019:GEN:31:5,31,1,2.548572,2.54828316140427,-0.000288838595729146,-0.485490522698777,0.00948190393367987,0.494972426632457
49,PERFORM2019:GEN:31:6,31,1,24.113415,24.1135287136412,0.00011371364116286,-4.79741051777563,-0.0871888788627571,4.71022163891288
50,PERFORM2019:GEN:31:7,31,1,24.113415,24.1135287136412,0.00011371364116286,-4.79741051777563,-0.0871888788627571,4.71022163891288
51,PERFORM2019:GEN:32:C1,32,1,147.000003,146.981212808234,-0.0187901917659019,-32.9407623343646,-44.9786237419769,-12.0378614076123
52,PERFORM2019:GEN:33:C1,33,1,56.241345,56.2414381707917,9.31707917501967e-05,-10.1005143000766,-7.91399452678383,2.18651977329281
53,PERFORM2019:GEN:34:C1,34,1,57.036275,57.0363701076386,9.51076386286331e-05,14.8864580242306,-21.1870326548614,-36.073490679092
54,PERFORM2019:GEN:35:1,35,1,3.136704,3.13583804080977,-0.000865959190233578,2.1,0.132240958460205,-1.96775904153979
55,PERFORM2019:GEN:35:2,35,1,3.136704,3.13583804080977,-0.000865959190233578,2.1,0.132240958460205,-1.96775904153979
56,PERFORM2019:GEN:35:3,35,1,3.92088,3.92059070529038,-0.000289294709619803,2.6,0.164497684067799,-2.4355023159322
57,PERFORM2019:GEN:35:4,35,1,3.92088,3.92059070529038,-0.000289294709619803,2.6,0.164497684067799,-2.4355023159322
58,PERFORM2019:GEN:35:5,35,1,5.88132,5.88134313371389,2.31337138920651e-05,3.9,0.197349152151612,-3.70265084784839
59,PERFORM2019:GEN:35:6,35,1,6.861541,6.86158340677929,4.24067792872407e-05,4.6,0.199733435367945,-4.40026656463205
60,PERFORM2019:GEN:37:C1,37,1,190.435088,190.435225924654,0.000137924653785149,23.3480043298416,-21.1401134475022,-44.4881177773438
61,PERFORM2019:GEN:38:1,38,1,99.863166,99.8632776570107,0.000111657010720023,-12.4636902248468,-9.64321138229287,2.82047884255396
62,PERFORM2019:GEN:39:1,39,1,125.201583,125.201699783802,0.000116783802127429,-15.7276149066169,-27.2821073165725,-11.5544924099556
63,PERFORM2019:GEN:41:C1,41,1,65.28368,65.2837821006858,0.000102100685751338,13.4763480821582,-20.3360666570217,-33.8124147391799
64,PERFORM2019:GEN:52:1,52,1,16.097346,16.0972638873657,-8.21126343346634e-05,-0.0905191800751297,-1.44558109824077,-1.35506191816564
65,PERFORM2019:GEN:53:1,53,1,37.262374,37.2624461930005,7.21930004985438e-05,-8.55604071664294,-5.14025760478503,3.41578311185791
66,PERFORM2019:GEN:60:1,60,1,0.784176,0.776575209821305,-0.00760079017869475,0.330912141470064,-0.0893923851340583,-0.420304526604122
67,PERFORM2019:GEN:60:2,60,1,9.802201,9.80227373199668,7.27319966813411e-05,3.6364017683758,-1.61740481417573,-5.25380658255153
68,PERFORM2019:GEN:63:C1,63,0,0,0,0,0,0,0
69,PERFORM2019:GEN:63:C2,63,1,653.643417,653.636118974329,-0.00729802567116167,12.7445097159222,-32.1663936693302,-44.9109033852524
70,PERFORM2019:GEN:69:1,69,0,0,0,0,0,0,0
71,PERFORM2019:GEN:69:2,69,1,24.344754,24.3448012585255,4.72585255444358e-05,-1.36588833376131,-4.24287348288644,-2.87698514912513
72,PERFORM2019:GEN:69:3,69,1,47.000274,47.0003645066829,9.05066829162138e-05,-2.64084591458347,-8.17927615430495,-5.53843023972149
73,PERFORM2019:GEN:79:1,79,0,0,0,0,0,0,0
74,PERFORM2019:GEN:79:2,79,0,0,0,0,0,0,0
75,PERFORM2019:GEN:79:3,79,0,0,0,0,0,0,0
76,PERFORM2019:GEN:79:4,79,0,0,0,0,0,0,0
77,PERFORM2019:GEN:79:5,79,0,0,0,0,0,0,0
78,PERFORM2019:GEN:79:6,79,0,0,0,0,0,0,0
79,PERFORM2019:GEN:79:7,79,0,0,0,0,0,0,0
80,PERFORM2019:GEN:79:8,79,0,0,0,0,0,0,0
81,PERFORM2019:GEN:79:9,79,0,0,0,0,0,0,0
82,PERFORM2019:GEN:79:10,79,1,7.452475,7.45020096905707,-0.00227403094293166,-0.599827806093026,0.584779360947618,1.18460716704064
83,PERFORM2019:GEN:79:11,79,1,46.702179,46.70228041114,0.000101411140001062,-4.00530585087978,3.40479004507658,7.41009589595637
84,PERFORM2019:GEN:79:12,79,0,0,0,0,0,0,0
85,PERFORM2019:GEN:79:13,79,1,178.859413,178.859553232076,0.000140232075580116,-15.2192835926522,13.1356751928951,28.3549587855473
86,PERFORM2019:GEN:79:14,79,1,178.859413,178.859553232076,0.000140232075580116,-15.2192835926522,13.1356751928951,28.3549587855473
87,PERFORM2019:GEN:79:15,79,0,0,0,0,0,0,0
88,PERFORM2019:GEN:80:1,80,1,55.148321,55.1484151390882,9.41390881905591e-05,-6.63000523469614,-18.2929941816301,-11.662988946934
89,PERFORM2019:GEN:82:1,82,1,34.281385,34.2814603382707,7.53382706903949e-05,-8.05180762011096,-8.24621773045614,-0.194410110345187
90,PERFORM2019:GEN:83:1,83,1,7.841761,7.8418080350838,4.70350838011058e-05,-1.92448191752862,-0.442952034681791,1.48152988284683
91,PERFORM2019:GEN:83:2,83,1,7.841761,7.8418080350838,4.70350838011058e-05,-1.92448191752862,-0.442952034681791,1.48152988284683
92,PERFORM2019:GEN:84:1,84,1,10.782421,10.7824961476728,7.51476727884892e-05,-0.991089482628254,0.309241743936418,1.30033122656467
93,PERFORM2019:GEN:84:2,84,1,10.782421,10.7824961476728,7.51476727884892e-05,-0.991089482628254,0.309241743936418,1.30033122656467
94,PERFORM2019:GEN:95:C1,95,1,66.575444,66.5755439782977,9.99782977260111e-05,-0.0880475078602741,-6.95420052974257,-6.86615302188229
95,PERFORM2019:GEN:116:1,116,1,47.397739,47.3978320613285,9.30613284992887e-05,-18.2194128280959,-19.5634962004189,-1.34408337232306
96,PERFORM2019:GEN:125:1,125,0,0,0,0,0,0,0
97,PERFORM2019:GEN:125:C1,125,0,0,0,0,0,0,0
98,PERFORM2019:GEN:127:C1,127,1,708.878994,708.879177964354,0.000183964354050659,-63.0520311731572,-135.702756674799,-72.6507255016423
99,PERFORM2019:GEN:128:1,128,1,610.109282,610.109412851964,0.000130851963604073,-34.754114055429,-7.50871696073086,27.2453970946981
100,PERFORM2019:GEN:150:1,150,0,0,0,0,0,0,0
101,PERFORM2019:GEN:150:2,150,0,0,0,0,0,0,0
102,PERFORM2019:GEN:150:C1,150,0,0,0,0,0,0,0
103,PERFORM2019:GEN:150:C2,150,0,0,0,0,0,0,0
104,PERFORM2019:GEN:161:1,161,1,19.873267,19.8732885886356,2.1588635632952e-05,4.02871052852659,-2.33230799223163,-6.36101852075822
105,PERFORM2019:GEN:178:C1,178,0,0,0,0,0,0,0
106,PERFORM2019:GEN:193:C1,193,0,0,0,0,0,0,0
107,PERFORM2019:GEN:194:1,194,1,19.873267,19.8732952803975,2.8280397497582e-05,14,-3.26463194714413,-17.2646319471441
108,PERFORM2019:GEN:199:1,199,0,0,0,0,0,0,0
109,PERFORM2019:GEN:199:2,199,0,0,0,0,0,0,0
110,PERFORM2019:GEN:212:1,212,0,0,0,0,0,0,0
111,PERFORM2019:GEN:212:2,212,0,0,0,0,0,0,0
112,PERFORM2019:GEN:212:3,212,0,0,0,0,0,0,0
113,PERFORM2019:GEN:212:4,212,0,0,0,0,0,0,0
114,PERFORM2019:GEN:212:5,212,0,0,0,0,0,0,0
115,PERFORM2019:GEN:212:6,212,0,0,0,0,0,0,0
116,PERFORM2019:GEN:212:7,212,0,0,0,0,0,0,0
117,PERFORM2019:GEN:212:8,212,0,0,0,0,0,0,0
118,PERFORM2019:GEN:212:9,212,0,0,0,0,0,0,0
119,PERFORM2019:GEN:212:10,212,0,0,0,0,0,0,0
120,PERFORM2019:GEN:212:11,212,0,0,0,0,0,0,0
121,PERFORM2019:GEN:234:1,234,0,0,0,0,0,0,0
122,PERFORM2019:GEN:234:C1,234,0,0,0,0,0,0,0
123,PERFORM2019:GEN:250:1,250,1,0.392088,0.381744543418095,-0.0103434565819052,0.3,0.0481786495243647,-0.251821350475635
124,PERFORM2019:GEN:250:2,250,0,0,0,0,0,0,0
125,PERFORM2019:GEN:250:3,250,0,0,0,0,0,0,0
126,PERFORM2019:GEN:250:4,250,1,12.546818,12.5469041324814,8.61324813907771e-05,9,-0.358521456439957,-9.35852145643996
127,PERFORM2019:GEN:250:5,250,1,12.546818,12.5469041324814,8.61324813907771e-05,9,-0.358521456439957,-9.35852145643996
128,PERFORM2019:GEN:250:6,250,0,0,0,0,0,0,0
129,PERFORM2019:GEN:250:7,250,1,17.643961,17.6440645147068,0.000103514706804475,12.6,-1.24123730193317,-13.8412373019332
130,PERFORM2019:GEN:250:8,250,0,0,0,0,0,0,0
131,PERFORM2019:GEN:250:9,250,0,0,0,0,0,0,0
132,PERFORM2019:GEN:250:10,250,0,0,0,0,0,0,0
133,PERFORM2019:GEN:250:11,250,0,0,0,0,0,0,0
134,PERFORM2019:GEN:284:1,284,1,24.841583,24.8416285354274,4.55354273825037e-05,12.0666702922004,-1.75944123083983,-13.8261115230402
135,PERFORM2019:GEN:284:2,284,1,24.841583,24.8416285354274,4.55354273825037e-05,12.0666702922004,-1.75944123083983,-13.8261115230402
136,PERFORM2019:GEN:317:C1,317,1,59.520429,59.5205265518282,9.75518281762788e-05,-0.24217147779424,-12.5825119358942,-12.3403404581
137,PERFORM2019:GEN:339:1,339,1,39.249703,39.2497835559749,8.05559749466056e-05,21.1938951209824,-7.90821691794682,-29.1021120389292
138,PERFORM2019:GEN:357:1,357,1,877.702904,877.703067580082,0.000163580082016779,-37.6197138056707,-78.5852275113114,-40.9655137056407
139,PERFORM2019:GEN:358:C3,358,1,542.534351,542.534590570891,0.000239570890698815,-29.5123437706112,-41.0074601100439,-11.4951163394327
140,PERFORM2019:GEN:358:C4,358,1,543.200016,543.174422252733,-0.0255937472674077,-29.528677170219,-41.0301454994214,-11.5014683292024
141,PERFORM2019:GEN:368:1,368,1,29.809901,29.8099672084739,6.62084738749513e-05,6.41051791573903,-4.61012897388123,-11.0206468896203
142,PERFORM2019:GEN:378:1,378,1,3.92088,3.92065191879484,-0.000228081205155384,1.87813216346734,0.0752682886579147,-1.80286387480943
143,PERFORM2019:GEN:378:2,378,1,3.92088,3.92065191879484,-0.000228081205155384,1.87813216346734,0.0752682886579147,-1.80286387480943
144,PERFORM2019:GEN:378:3,378,1,3.92088,3.92065191879484,-0.000228081205155384,1.87813216346734,0.0752682886579147,-1.80286387480943
145,PERFORM2019:GEN:381:1,381,0,0,0,0,0,0,0
146,PERFORM2019:GEN:381:C1,381,1,63.793194,63.7933022306425,0.000108230642524632,1.54837612835791,-13.2146171323822,-14.7629932607401
147,PERFORM2019:GEN:395:1,395,1,32.790887,32.7909509115428,6.3911542831363e-05,-7.08186992632173,-7.12712507279331,-0.0452551464715754
148,PERFORM2019:GEN:395:2,395,1,60.613459,60.6135556974324,9.6697432404369e-05,-13.0597265626332,-13.1433335250284,-0.0836069623951357
149,PERFORM2019:GEN:395:3,395,1,90.423363,90.4234729898145,0.000109989814504274,-19.464570843407,-19.5892690416885,-0.124698198281415
150,PERFORM2019:GEN:395:4,395,1,136.131895,136.132014180804,0.000119180804432517,-29.2853367020237,-29.4730414575412,-0.187704755517579
151,PERFORM2019:GEN:399:1,399,1,73.531085,73.5312028709144,0.000117870914408513,4.24470198413899,-14.1326685937458,-18.3773705778848
152,PERFORM2019:GEN:405:1,405,1,25.485721,25.4858277633676,0.000106763367611507,-3.76142233821923,-6.86376819718056,-3.10234585896133
153,PERFORM2019:GEN:406:1,406,1,14.703302,14.7033873597217,8.53597217105317e-05,-1.34093745660524,-2.74012521712152,-1.39918776051629
154,PERFORM2019:GEN:407:1,407,1,24.5055,24.5056057521914,0.000105752191426944,-3.85207661764647,-6.61496879688844,-2.76289217924197
155,PERFORM2019:GEN:408:1,408,1,23.525281,23.5253855844998,0.000104584499819538,-3.51427793851344,-6.23497047444888,-2.72069253593544
156,PERFORM2019:GEN:409:1,409,1,20.584621,20.5847212733986,0.000100273398551565,1.96787665883307,-5.21564747021863,-7.1835241290517
157,PERFORM2019:GEN:463:1,463,1,1.274286,1.26810537393965,-0.00618062606034675,-0.0255117083091614,0.0536142055063789,0.0791259138155403
158,PERFORM2019:GEN:463:2,463,1,6.861541,6.86158414823846,4.31482384577464e-05,-0.190314395700388,0.244878130285083,0.435192525985472
159,PERFORM2019:GEN:463:3,463,1,6.861541,6.86158414823846,4.31482384577464e-05,-0.190314395700388,0.244878130285083,0.435192525985472
160,PERFORM2019:GEN:463:4,463,1,6.861541,6.86158414823846,4.31482384577464e-05,-0.190314395700388,0.244878130285083,0.435192525985472
161,PERFORM2019:GEN:463:5,463,1,6.861541,6.86158414823846,4.31482384577464e-05,-0.190314395700388,0.244878130285083,0.435192525985472
162,PERFORM2019:GEN:463:6,463,1,6.861541,6.86158414823846,4.31482384577464e-05,-0.190314395700388,0.244878130285083,0.435192525985472
163,PERFORM2019:GEN:469:1,469,1,14.308752,14.3085749752646,-0.000177024735442899,5.51292070708758,-1.0203637113234,-6.53328441841098
164,PERFORM2019:GEN:474:1,474,1,8.821981,8.82204411211132,6.31121113254807e-05,4.13187372212211,-1.26349469986492,-5.39536842198703
165,PERFORM2019:GEN:474:2,474,1,46.070346,46.0704761871754,0.000130187175429342,21.6180685717504,-6.45694587186348,-28.0750144436139
166,PERFORM2019:GEN:492:1,492,0,0,0,0,0,0,0
167,PERFORM2019:GEN:508:C1,508,0,0,0,0,0,0,0
168,PERFORM2019:GEN:508:C2,508,1,338.333488,338.333641471541,0.000153471541352701,-22.0096052117097,-40.4142288707106,-18.4046236590009
169,PERFORM2019:GEN:526:1,526,1,17.643961,17.6440646765674,0.00010367656737742,2.03686529808279,-3.07256967070524,-5.10943496878803
170,PERFORM2019:GEN:535:1,535,1,41.634494,41.6345810262054,8.70262053638271e-05,-1.85400642232176,-3.45431678693518,-1.60031036461342
171,PERFORM2019:GEN:535:C1,535,1,769.999981,769.970002435924,-0.029978564076373,-87.5754876765723,-121.738900355856,-34.1634126792838
172,PERFORM2019:GEN:546:1,546,1,46.205348,46.205443566285,9.55662849833061e-05,32.600001,-6.07811957115972,-38.6781205711597
173,PERFORM2019:GEN:547:1,547,0,0,0,0,0,0,0
174,PERFORM2019:GEN:547:2,547,0,0,0,0,0,0,0
175,PERFORM2019:GEN:547:3,547,0,0,0,0,0,0,0
176,PERFORM2019:GEN:547:4,547,0,0,0,0,0,0,0
177,PERFORM2019:GEN:547:5,547,0,0,0,0,0,0,0
178,PERFORM2019:GEN:547:6,547,0,0,0,0,0,0,0
179,PERFORM2019:GEN:547:7,547,0,0,0,0,0,0,0
180,PERFORM2019:GEN:547:8,547,0,0,0,0,0,0,0
181,PERFORM2019:GEN:547:9,547,0,0,0,0,0,0,0
182,PERFORM2019:GEN:547:10,547,0,0,0,0,0,0,0
183,PERFORM2019:GEN:547:11,547,0,0,0,0,0,0,0
184,PERFORM2019:GEN:547:12,547,0,0,0,0,0,0,0
185,PERFORM2019:GEN:552:1,552,1,15.898612,15.8986037895939,-8.21040607057455e-06,-8.44099607458113,-6.99787826112178,1.44311781345935
186,PERFORM2019:GEN:552:2,552,0,0,0,0,0,0,0
187,PERFORM2019:GEN:552:3,552,0,0,0,0,0,0,0
188,PERFORM2019:GEN:552:4,552,1,186.808717,186.808859363805,0.00014236380476973,-99.1817078404278,-82.2250733879687,16.9566344524591
189,PERFORM2019:GEN:552:5,552,1,186.808717,186.808859363805,0.00014236380476973,-99.1817078404278,-82.2250733879687,16.9566344524591
190,PERFORM2019:GEN:554:C1,554,1,229.999995,230.016544233869,0.016549233868858,-199.675887800591,-225.1769492037,-25.5010614031088
191,PERFORM2019:GEN:556:C1,556,1,528.000021,527.971324941345,-0.0286960586554414,377.294339326317,128.943474591407,-248.35086473491
192,PERFORM2019:GEN:557:1,557,1,41.634494,41.6345894174647,9.54174647276318e-05,11.2588008742334,3.55483450747564,-7.70396636675777
